id,name,type,address,phone,latitude,longitude,hours,distance,appointment_required
33910fbc-3f90-44b3-a058-c1e3d8015078,Gleaners Community Food Bank,Food Pantry,"2131 Beaufait St, Detroit, MI 48207",(313) 923-3535,42.3505,-83.0245,Tue-Thu 9AM-4PM,1.8 mi,
79c52bcd-81a3-4ad5-a072-11ec0f1bdbe2,Midtown Community Fridge,Community Fridge,"4160 Cass Ave, Detroit, MI 48201",,42.3504,-83.0642,24/7,0.7 mi,
83bcb99f-9545-4da4-b790-79b51138995f,Cass Community Social Services,Food Pantry,"11850 Woodrow Wilson St, Detroit, MI 48206",,42.3690,-83.0877,Mon-Fri 10AM-2PM,0.4 mi,
890c9e10-9898-48c0-9fa8-407728299177,Southwest Community Fridge,Community Fridge,"7310 W Vernor Hwy, Detroit, MI 48209",,42.3185,-83.1201,24/7,1.2 mi,
e5b7901a-d844-4df8-86b8-467bcfcc7057,Basilica of St. Anne de Detroit,Food Pantry,"1000 St. Anne St, Detroit, MI 48216",313-496-1701,42.3065,-83.0813,SAT: 11:00am - 1:00pm,,No
a99d8837-3930-4e4e-9c1b-c235100bcb2c,Bethany Lutheran Church,Food Pantry,"11475 E. Outer Drive, Detroit, MI 48224",(313)885-7721,42.4146,-82.9468,WED: 2nd and 4th Wednesdays 12:30pm - 3:30pm,,Yes
71872eb9-3b08-46e3-b511-273993efa1ff,Brightmoor Connection,Food Pantry,"20740 Grand River Ave, Detroit, MI 48219",(313)740-7688,42.4167,-83.2709,MON: 2:00pm - 6:30pm; TUE: 2:00pm - 6:30pm; WED: 10:00am - 1:00pm,,No
62204939-1246-4260-a330-cec6ef24b529,Calvary Presbyterian Church,Food Pantry,"19125 Greenview Ave, Detroit, MI 48219",(313)537-2590,42.4277,-83.2657,SAT: 10:00am - 12:30pm,,No
72dc11fe-e1c9-4bd3-99cc-58658cdbb536,Capuchin Soup Kitchen - Meldrum Soup Kitchen,Soup Kitchen,"1264 Meldrum St, Detroit, MI 48207",313-579-2100,42.3464,-83.0258,MON–FRI: 8:30am–9:00am (Breakfast); 11:00am–1:00pm (Lunch),,No
a304c4c7-1492-46db-a955-06ecac5a2e96,Capuchin Soup Kitchen - Services Center Pantry,Food Pantry,"6333 Medbury St, Detroit, MI 48211",313-925-0514,42.3843,-83.0373,MON–FRI: 8:30am - 4:30pm,,Yes
4d105052-d451-489a-b93a-7c1b46b307e0,Caring Community Center,Food Pantry,"14531 Grand River Ave, Detroit, MI 48227",,42.3878,-83.1888,SAT: 10:00am-1:00pm (First Saturday of the Month),,No
b9c08267-904a-4d67-bbf3-fd41053e6694,Cass Community Care Services,Soup Kitchen,"18500 Woodrow Wilson St, Detroit, MI 48206",(313)883-2277,42.4195,-83.0972,MON–SUN: 7:00am - 5:00pm,,No
ee48dbf5-0133-4837-8a33-8a927409c277,Center for the Works of Mercy,Food Pantry,"8642 Woodward Ave, Detroit, MI 48202",313-335-3261,42.3786,-83.0739,THU–FRI: 1:00pm - 4:00pm,,Yes
4259bade-d30a-429b-9ab2-579c88c52732,Central United Methodist Church - The Noah Project,Food Pantry,"23 E. Adams, Detroit, MI 48226",(313)965-5422,42.3365,-83.0491,MON–THU: 10:30am–2:00pm,,No
3958fe68-c119-4259-b2fa-fc1af64b2126,Citadel of Praise,Food Pantry,"20280 Lyndon, Detroit, MI 48223",(313)535-1500,42.4033,-83.2476,,,No
d50b6443-db16-42f5-ad13-bd8510710d8b,Coalition on Temporary Shelter (C.O.T.S.),Food Pantry,"16630 Wyoming St, Detroit, MI 48221",,42.4164,-83.1598,,,No
d3c75e74-6f02-444b-80d6-37badd18e6d1,Community Services CDC,Food Pantry,"11529 Linwood St, Detroit, MI 48206",(313)865-6770,42.3927,-83.1069,THU: 3rd Thursdays 10:00am–2:00pm; SAT: 10:00am–2:00pm,,No
602d4da4-ad10-4c10-a321-696f2db3cccc,Conant Gardens,Food Pantry,"18801 Joseph Campau St, Detroit, MI 48234",(313)369-1227,42.4264,-83.0463,TUE: 10:00am–11:45am,,No
f8a2152d-45d5-475d-b5af-6bfac33cb322,Crossroads of Michigan,Food Pantry,"2424 W. Grand Blvd, Detroit, MI 48208",313-831-2000,42.3692,-83.0918,MON–FRI: 10:00am–3:00pm; SUN: 11:00am–1:00pm (Hot Meal),,Yes
2ff41530-6a09-4aeb-8f28-377f91593cac,Deo Gratias Ministries Detroit,Food Pantry,"15879 E. 7 Mile Rd, Detroit, MI 48205",(313) 743-0477,42.4387,-82.9613,TUE & FRI: 10:00am–2:00pm,,Yes
44cac073-143e-48dd-978d-3312bfd3599d,Detroit Northwest Church - SDA,Food Pantry,"14301 Burt Rd, Detroit, MI 48223",(313)236-2899,42.3893,-83.2547,THU: 11:00am–2:00pm,,No
750c30be-42a9-4322-857a-ee5b01b7b9a7,Dexter Avenue Baptist Church,Food Pantry,"3350 W. Davison, Detroit, MI 48238",313-869-4878,42.3882,-83.1131,THU: 2nd Thursdays 12:00pm–3:00pm,,No
479cb35d-2ec7-4215-b91a-360983b255ff,Evangelical Covenant Church / City Covenant Church,Soup Kitchen,"13624 Stout, Detroit, MI 48223",(313)535-1084,42.3854,-83.2559,MON–THU: 4:00pm–6:30pm (Dinner),,No
90a1405e-0f2c-4d56-8cd0-528ac00837a4,Food Hub at St. Cunegunda,Food Pantry,"5900 St. Lawrence St, Detroit, MI 48210",(313) 963-8880,42.3256,-83.1195,MON: 2:00pm–4:00pm; TUE: 1:00pm–2:30pm; THU: 5:00pm–6:00pm,,Yes
3fcb775e-5cd1-4afd-9a9e-d6d36ef74290,Gospel Tabernacle Food Pantry,Food Pantry,"12935 Buena Vista, Detroit, MI 48227",,42.3881,-83.1849,SAT: 1st & 3rd Saturdays 12:00pm–2:00pm,,No
bfb9c549-5858-4486-89d2-209fd796cd99,Grace Temple Church of God in Christ,Food Pantry,"12521 Dexter Ave, Detroit, MI 48206",(313) 931-6095,42.3924,-83.1075,THU: Week of each month's 2nd Monday 11:00am–1:00pm,,No
4646dbe9-7120-4831-87c0-5f33646e2555,Greater Apostolic Temple Food Distribution,Food Pantry,"17950 Charest, Detroit, MI 48212",(313)826-0902,42.4177,-83.0589,WED: 2:00pm–4:00pm,,Yes
76778c03-cf08-477e-8f2e-6d3048460e13,Greater Dequindre Church of God - Lifeline Food Pantry,Food Pantry,"1847 Sycamore St, Detroit, MI 48208",(313)285-9368,42.3627,-83.0865,SAT: 2nd & 4th Saturdays 12:00pm–3:00pm,,No
864fac77-d0cc-4ad8-8054-c9e735d559a3,Greater Quinn A.M.E.,Food Pantry,"13501 Rosa Parks Blvd, Detroit, MI 48238",(313)867-8380,42.3899,-83.1288,MON–FRI: 9:00am–3:00pm,,Yes
cde5d65e-80f7-40be-ae92-abadcc58ea94,In the Trenches,Food Pantry,"304 S. Morrell, Detroit, MI 48209",(313) 554-3533,42.3057,-83.1082,FRI: 3:30pm–4:30pm; SAT: 10:30am–11:30am,,No
